label,score_type,decision_boundary,decision_boundary,label,scores
0.0,precision,0.30000000000000004,0.30000000000000004,0.0,0.693311403508772
0.0,precision,0.4,0.4,0.0,0.7058123249299719
0.0,precision,0.5,0.5,0.0,0.7651460381723539
0.0,precision,0.6,0.6,0.0,0.861111111111111
0.0,precision,0.7000000000000001,0.7000000000000001,0.0,0.8875
0.0,precision,0.8,0.8,0.0,0.88125
0.0,precision,0.9,0.9,0.0,1.0
0.0,precision,1.0,1.0,0.0,
0.0,recall,0.30000000000000004,0.30000000000000004,0.0,0.6276315789473684
0.0,recall,0.4,0.4,0.0,0.6026315789473685
0.0,recall,0.5,0.5,0.0,0.5644736842105263
0.0,recall,0.6,0.6,0.0,0.4875
0.0,recall,0.7000000000000001,0.7000000000000001,0.0,0.3848684210526315
0.0,recall,0.8,0.8,0.0,0.3190789473684211
0.0,recall,0.9,0.9,0.0,0.15460526315789472
0.0,recall,1.0,1.0,0.0,0.0
1.0,precision,0.30000000000000004,0.30000000000000004,1.0,0.8708916083916084
1.0,precision,0.4,0.4,1.0,0.8748478373478373
1.0,precision,0.5,0.5,1.0,0.9114241850586389
1.0,precision,0.6,0.6,1.0,0.945357833655706
1.0,precision,0.7000000000000001,0.7000000000000001,1.0,0.9561970608482236
1.0,precision,0.8,0.8,1.0,0.9585179510538738
1.0,precision,0.9,0.9,1.0,0.9758141762452107
1.0,precision,1.0,1.0,1.0,
1.0,recall,0.30000000000000004,0.30000000000000004,1.0,0.9040275761973875
1.0,recall,0.4,0.4,1.0,0.9040275761973875
1.0,recall,0.5,0.5,1.0,0.8896044992743106
1.0,recall,0.6,0.6,1.0,0.841799709724238
1.0,recall,0.7000000000000001,0.7000000000000001,1.0,0.7745827285921625
1.0,recall,0.8,0.8,1.0,0.6981132075471699
1.0,recall,0.9,0.9,1.0,0.5693033381712627
1.0,recall,1.0,1.0,1.0,0.0
2.0,precision,0.30000000000000004,0.30000000000000004,2.0,0.7929571524966262
2.0,precision,0.4,0.4,2.0,0.8085585585585586
2.0,precision,0.5,0.5,2.0,0.8174840510366826
2.0,precision,0.6,0.6,2.0,0.8673690932311622
2.0,precision,0.7000000000000001,0.7000000000000001,2.0,0.8660818713450292
2.0,precision,0.8,0.8,2.0,0.9321581196581197
2.0,precision,0.9,0.9,2.0,1.0
2.0,precision,1.0,1.0,2.0,
2.0,recall,0.30000000000000004,0.30000000000000004,2.0,0.8092105263157895
2.0,recall,0.4,0.4,2.0,0.8092105263157895
2.0,recall,0.5,0.5,2.0,0.75
2.0,recall,0.6,0.6,2.0,0.6513157894736842
2.0,recall,0.7000000000000001,0.7000000000000001,2.0,0.4539473684210526
2.0,recall,0.8,0.8,2.0,0.3026315789473684
2.0,recall,0.9,0.9,2.0,0.14473684210526316
2.0,recall,1.0,1.0,2.0,0.0
3.0,precision,0.30000000000000004,0.30000000000000004,3.0,0.8333333333333334
3.0,precision,0.4,0.4,3.0,0.7777777777777778
3.0,precision,0.5,0.5,3.0,0.7777777777777778
3.0,precision,0.6,0.6,3.0,1.0
3.0,precision,0.7000000000000001,0.7000000000000001,3.0,1.0
3.0,precision,0.8,0.8,3.0,
3.0,precision,0.9,0.9,3.0,
3.0,precision,1.0,1.0,3.0,
3.0,recall,0.30000000000000004,0.30000000000000004,3.0,0.4583333333333333
3.0,recall,0.4,0.4,3.0,0.375
3.0,recall,0.5,0.5,3.0,0.29166666666666663
3.0,recall,0.6,0.6,3.0,0.29166666666666663
3.0,recall,0.7000000000000001,0.7000000000000001,3.0,0.16666666666666666
3.0,recall,0.8,0.8,3.0,0.0
3.0,recall,0.9,0.9,3.0,0.0
3.0,recall,1.0,1.0,3.0,0.0
